지점명,리뷰어명,계정 URL,연락처,주소,노출점수,등급,일 방문 수,신청메시지,메모
브라운도트 포항죽도점,김서연,https://blog.naver.com/sample_ph01,010-2201-3301,경북 포항시 북구 죽도동,88,S,1620,주말 오후 방문 희망합니다.,재방문 리뷰어
브라운도트 포항죽도점,박준호,https://blog.naver.com/sample_ph02,010-2202-3302,경북 포항시 남구 상도동,74,A,1030,평일 오전 가능합니다.,
브라운도트 포항죽도점,이하늘,https://www.instagram.com/sample_ph03,010-2203-3303,경북 포항시 북구 양덕동,63,B,710,,
브라운도트 포항죽도점,정미래,https://blog.naver.com/sample_ph04,010-2204-3304,경북 포항시 남구 효자동,57,B,480,아이 동반 예정입니다.,유아 동반
브라운도트 포항죽도점,최동현,https://blog.naver.com/sample_ph05,010-2205-3305,경북 포항시 북구 흥해읍,45,C,290,,
브라운도트 진주성점,윤채원,https://blog.naver.com/sample_jj01,010-3301-4401,경남 진주시 성지동,91,S,1740,촬영 장비 지참합니다.,사진 퀄리티 우수
브라운도트 진주성점,임도현,https://www.instagram.com/sample_jj02,010-3302-4402,경남 진주시 칠암동,76,A,1120,,
브라운도트 진주성점,오세진,https://blog.naver.com/sample_jj03,010-3303-4403,경남 진주시 신안동,64,B,660,주말만 가능합니다.,
브라운도트 진주성점,신유진,https://blog.naver.com/sample_jj04,010-3304-4404,경남 진주시 평거동,52,C,340,,
스테이레브소유 거제점,조은비,https://blog.naver.com/sample_gj01,010-4401-5501,경남 거제시 고현동,83,S,1450,1박 2일 예정입니다.,
스테이레브소유 거제점,배성민,https://www.instagram.com/sample_gj02,010-4402-5502,경남 거제시 옥포동,71,A,940,,
스테이레브소유 거제점,문지호,https://blog.naver.com/sample_gj03,010-4403-5503,경남 거제시 장승포동,60,B,520,주차 가능 여부 문의드립니다.,주차 문의
스테이레브소유 거제점,노아름,https://blog.naver.com/sample_gj04,010-4404-5504,경남 거제시 일운면,48,C,280,,
브라운도트 포항 죽도,서지훈,https://blog.naver.com/sample_mis,010-5501-6601,경북 포항시 북구 죽도동,55,B,360,지점명 표기가 다른 예시입니다.,미매칭 확인용
